,usgs_number,drainage_area_sq_mi,start_yr,end_yr,tot_days,lat,lon,lat_grid,lon_grid,nash_sutclf_temp,nash_sutclf_temp_days,nash_sutclf_jfm_temp,nash_sutclf_jfm_t_days,nash_sutclf_amj_temp,nash_sutclf_amj_t_days,nash_sutclf_jas_temp,nash_sutclf_jas_t_days,nash_sutclf_ond_temp,nash_sutclf_ond_t_days,nash_sutclf_flow,nash_sutclf_flow_days,nash_sutclf_jfm_flow,nash_sutclf_jfm_f_days,nash_sutclf_amj_flow,nash_sutclf_amj_f_days,nash_sutclf_jas_flow,nash_sutclf_jas_f_days,nash_sutclf_ond_flow,nash_sutclf_ond_f_days,rmsd_temp,nrmsd_temp,ambd_temp,bias_temp,rmsd_flow,nrmsd_flow,ambd_flow,bias_flow
0,351706800.0,206.0,1999.0,2016.0,6047.0,35.438526,-83.91925400000001,35.4375,-83.9375,0.396,4096.0,0.36,992.0,-2.463,1000.0,-9.172,1003.0,0.504,1101.0,-0.404,4110.0,-0.229,993.0,-0.381,1001.0,-3.767,1012.0,-0.61,1104.0,5.523,0.378,0.211,3.084,418.603,4.55,-0.278,-25.534
1,3497300.0,106.0,1976.0,2016.0,3003.0,35.664497,-83.71096999999999,35.6875,-83.6875,-0.063,1475.0,0.488,359.0,-7.313,335.0,-17.181,350.0,0.306,431.0,-0.383,13149.0,-0.34,3249.0,-0.602,3276.0,-1.093,3312.0,-0.671,3312.0,6.609,0.555,0.363,4.32,405.224,2.1,-0.71,-137.04
2,3604000.0,447.0,1964.0,2016.0,1439.0,35.496611,-87.83369,35.4375,-87.8125,0.921,488.0,0.592,121.0,0.899,91.0,0.51,92.0,0.661,184.0,-0.124,17532.0,-0.208,4332.0,-0.125,4368.0,-0.345,4416.0,-0.151,4416.0,2.321,0.172,-0.084,-1.135,1772.043,3.903,-1.462,-663.849
3,3584600,1805.0,2014,2016,564,35.013721999999994,-86.994875,35.0625,-86.9375,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,
4,3582000,827.0,2012,2016,1313,35.134462,-86.539475,35.1875,-86.5625,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,
5,3544970,39.5,2011,2016,1639,34.883871,-83.722375,34.9375,-83.6875,,0,,0,,0,,0,,0,-47.127,1212,-33.932,271,-494.579,273,-9.089,300,-15.357,368,,,,,758.756,10.687,3.838,272.514
6,3501500,295.0,2013,2016,771,35.185458000000004,-83.37182299999999,35.1875,-83.3125,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,
7,3512000,184.0,2014,2016,578,35.461743,-83.35306899999999,35.4375,-83.3125,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,
8,3456991,130.0,2012,2016,1374,35.524370000000005,-82.846436,35.5625,-82.8125,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,
9,3460000,49.2,1984,2016,2286,35.667645,-83.072461,35.6875,-83.0625,0.754,730,0.674,180,0.257,182,-3.895,184,0.784,184,,9588,,2346,,2366,,2392,,2484,2.894,0.235,0.051,0.628,,,,
10,3451500,945.0,2013,2016,964,35.609922999999995,-82.5776,35.5625,-82.5625,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,
11,3446000,66.7,2012,2016,1369,35.398725,-82.59437199999999,35.4375,-82.5625,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,
12,3524000.0,533.0,2007.0,2016.0,3258.0,36.944752,-82.154287,36.9375,-82.1875,0.925,1312.0,0.699,278.0,0.815,327.0,0.399,362.0,0.688,345.0,-0.391,1389.0,-0.778,289.0,-0.845,364.0,-0.548,368.0,-0.212,368.0,2.175,0.14,0.027,0.415,926.156,2.616,-1.366,-483.532
13,3524500,87.0,2012,2016,1346,36.929548,-82.45589,36.9375,-82.4375,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,
